Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,67,8,Some Random Commen with Id 0
1,1,2,185,1,Some Random Commen with Id 1
2,1,2,107,1,Some Random Commen with Id 2
3,1,2,49,1,Some Random Commen with Id 3
4,1,2,155,6,Some Random Commen with Id 4
5,2,0,21,7,Some Random Commen with Id 5
6,2,0,50,3,Some Random Commen with Id 6
7,2,0,53,3,Some Random Commen with Id 7
8,2,0,107,9,Some Random Commen with Id 8
9,2,0,104,4,Some Random Commen with Id 9
10,2,0,5,8,Some Random Commen with Id 10
11,2,0,100,0,Some Random Commen with Id 11
12,2,0,193,6,Some Random Commen with Id 12
13,2,0,92,8,Some Random Commen with Id 13
14,3,8,8,5,Some Random Commen with Id 14
15,3,8,80,4,Some Random Commen with Id 15
16,3,8,129,0,Some Random Commen with Id 16
17,3,8,78,8,Some Random Commen with Id 17
18,3,8,41,2,Some Random Commen with Id 18
19,4,2,113,2,Some Random Commen with Id 19
20,4,2,68,5,Some Random Commen with Id 20
21,4,2,68,2,Some Random Commen with Id 21
22,4,2,199,5,Some Random Commen with Id 22
23,4,2,113,8,Some Random Commen with Id 23
24,4,2,100,2,Some Random Commen with Id 24
25,4,2,166,2,Some Random Commen with Id 25
26,4,2,69,9,Some Random Commen with Id 26
27,5,1,183,4,Some Random Commen with Id 27
28,5,1,198,8,Some Random Commen with Id 28
29,5,1,57,5,Some Random Commen with Id 29
30,5,1,141,0,Some Random Commen with Id 30
31,5,1,112,8,Some Random Commen with Id 31
32,5,1,183,4,Some Random Commen with Id 32
33,5,1,199,2,Some Random Commen with Id 33
34,6,6,172,4,Some Random Commen with Id 34
35,6,6,19,0,Some Random Commen with Id 35
36,6,6,142,9,Some Random Commen with Id 36
37,6,6,178,6,Some Random Commen with Id 37
38,6,6,66,9,Some Random Commen with Id 38
39,7,4,133,1,Some Random Commen with Id 39
40,7,4,36,2,Some Random Commen with Id 40
